"service","lifecycle","accountableOwner","directConsumers","dependencies","readExpressions","writeExpressions"
"server/services/boarding-pass.service.ts","active","","server/routers/bag-drop.ts;server/routers/boarding-pass.ts","drizzle/schema.ts;server/db.ts;server/services/access-control.service.ts","bookings;flights;passengers",""
"server/services/booking-checkout.service.ts","active","","server/routers/payments.ts;server/services/booking-invoice.service.ts;server/services/payment-settlement.service.ts;server/services/split-checkout.service.ts;server/services/split-payment.service.ts;server/services/wallet.service.ts","drizzle/schema.ts;server/db.ts;server/services/booking-settlement.service.ts;server/services/idempotency-v2.service.ts;server/services/outbox.service.ts;server/services/tenant.service.ts;server/stripe.ts","bookingAncillaries;bookingCheckoutRequests;bookingSegments;bookings;paymentSplits;table","bookingCheckoutRequests;bookings"
"server/services/booking-invoice.service.ts","active","","server/services/ancillary-services.service.ts;server/services/irops-recovery.service.ts;server/services/ndc-unpaid.service.ts;server/services/order-servicing.service.ts","drizzle/schema.ts;server/services/booking-checkout.service.ts;server/services/outbox.service.ts;server/services/seat-economics.service.ts;server/services/tenant.service.ts","ancillaryServices;bookingSegments;bookings;flights;ndcOrders;passengers","bookingAncillaries;bookingSegments;bookings;ndcOrders"
"server/services/booking-modification.service.ts","active","","server/routers/modifications.ts","drizzle/schema.ts;server/db.ts;server/services/idempotency-v2.service.ts;server/services/order-servicing.service.ts;server/services/retail-offer.service.ts","bookingModifications;bookings;passengers","bookingModifications"
"server/services/booking-settlement.service.ts","active","","server/routers/payments.ts;server/services/booking-checkout.service.ts;server/services/bookings.service.ts;server/services/irops-recovery.service.ts;server/services/ndc.service.ts;server/services/order-service-checkout.service.ts;server/services/order-servicing.service.ts;server/services/payment-settlement.service.ts;server/services/queue-v2.service.ts;server/services/split-checkout.service.ts;server/services/split-payment.service.ts;server/services/split-refund.service.ts;server/services/wallet.service.ts","drizzle/schema.ts;server/services/inventory-capacity.service.ts;server/services/outbox.service.ts","bookingRefundPlans;bookingSegments;flights;paymentReceipts;paymentSplits","bookingSegments;bookingStatusHistory;bookings;flights;inventoryLocks;ndcOrders;passengers;seatHolds;seatInventory"
"server/services/booking-state-machine.service.ts","retired","","server/services/stripe-webhook.service.ts","drizzle/schema.ts;server/_core/logger.ts;server/db.ts","bookingStatusHistory","bookingStatusHistory"
"server/services/bookings.service.ts","active","","server/routers/bookings.ts;server/services/rebooking.service.ts;server/services/travel-agent.service.ts","drizzle/schema.ts;server/db.ts;server/services/booking-settlement.service.ts;server/services/idempotency-v2.service.ts;server/services/inventory-lock.service.ts;server/services/metrics.service.ts;server/services/outbox.service.ts;server/services/retail-offer.service.ts;server/services/tenant.service.ts","ancillaryServices;bookings;flights;inventoryLocks;priceLocks","bookingAncillaries;bookings;passengers;priceLocks"
"server/services/bsp-reporting.service.ts","active","","server/routers/bsp-reporting.ts","drizzle/schema.ts;server/db.ts","agentBookings;airlines;bookings;flights;payments;travelAgents;users",""
"server/services/cache-v2.service.ts","retired","","","","","normalized"
"server/services/cache.service.ts","active","","server/_core/middleware/agent-api.middleware.ts;server/services/currency/currency.service.ts;server/services/intelligence/gateway.ts;server/services/intelligence/kernel.ts;server/services/pricing/ab-testing.service.ts;server/services/pricing/ai-pricing.service.ts;server/services/pricing/customer-segmentation.service.ts;server/services/pricing/dynamic-pricing.service.ts;server/services/pricing/revenue-optimization.service.ts;server/services/rate-limit.service.ts","server/_core/logger.ts","","paramsString"
"server/services/cancellation-fees.service.ts","active","","server/routers/refunds.ts;server/services/refunds.service.ts;server/services/split-refund.service.ts","","",""
"server/services/capability-catalog.service.ts","active","","server/routers/operations.ts","","",""
"server/services/codeshare.service.ts","active","","server/routers/codeshare.ts;server/services/interline.service.ts","drizzle/schema.ts;server/db.ts","airlines;airports;codeshareAgreements;flights;interlineAgreements","codeshareAgreements;interlineAgreements"
"server/services/compensation.service.ts","active","","server/routers/compensation.ts","drizzle/schema.ts;server/db.ts","airports;bookings;flightDisruptions;flights;passengers",""
"server/services/consent.service.ts","active","","server/routers/consent.ts","drizzle/schema.ts;server/_core/logger.ts;server/db.ts","consentRecords","consentRecords"
"server/services/corporate.service.ts","active","","server/routers/corporate.ts","drizzle/schema.ts;server/db.ts;server/services/notification.service.ts","bookings;corporateAccounts;corporateBookings;corporateUsers;flights;users","corporateAccounts;corporateBookings;corporateUsers"
"server/services/crew-assignment.service.ts","active","","server/routers/crew.ts","drizzle/schema.ts;server/db.ts;server/services/crew-rule.service.ts;server/services/required-value.ts","crewAssignments;crewMembers;flights","crewAssignments"
"server/services/crew-duty-policy.ts","active","","server/services/crew-rule.service.ts","","",""
"server/services/crew-rule.service.ts","active","","server/routers/aviation-integrations.ts;server/services/crew-assignment.service.ts;server/services/dcs.service.ts","drizzle/schema.ts;server/db.ts;server/services/aviation-evidence.service.ts;server/services/crew-duty-policy.ts;server/services/outbox.service.ts;server/services/tenant.service.ts","airlines;aviationEvidence;crewAssignments;crewMembers;flights","crewAssignments"
"server/services/cron.service.ts","active","","server/worker.ts","server/_core/logger.ts;server/jobs/check-in-reminder.job.ts;server/jobs/loyalty-cleanup.job.ts;server/services/bag-drop.service.ts;server/services/data-warehouse.service.ts;server/services/inventory-lock.service.ts;server/services/order-refunds.service.ts;server/services/outbox.service.ts;server/services/price-alerts.service.ts;server/services/scheduled-task.service.ts;server/services/split-refund.service.ts","","name"
"server/services/currency/currency.service.ts","active","","server/routers/pricing.router.ts","drizzle/schema.ts;server/db.ts;server/services/cache.service.ts","exchangeRates",""
"server/services/data-warehouse.service.ts","active","","server/routers/data-warehouse.ts;server/routes/operational-integrations.ts;server/services/cron.service.ts","drizzle/schema.ts;server/db.ts;server/services/financial-reporting.service.ts;server/services/rbac.service.ts","airlines;bookings;flights;users;warehouseExports;warehouseSchedules","record.content;result.data;warehouseExports;warehouseSchedules"
"server/services/db-optimizer.service.ts","retired","","","server/_core/logger.ts;server/db.ts","",""
"server/services/dcs.service.ts","active","","server/routers/dcs.ts","drizzle/schema.ts;server/db.ts;server/services/crew-rule.service.ts;server/services/demo-capability.ts","aircraftTypes;airlines;airports;baggageItems;bookings;crewAssignments;crewMembers;flights;loadPlans;passengers","aircraftTypes;crewAssignments;crewMembers;loadPlans"
"server/services/demo-capability.ts","active","","server/services/bag-drop.service.ts;server/services/biometric.service.ts;server/services/dcs.service.ts;server/services/disaster-recovery.service.ts;server/services/gds.service.ts;server/services/load-planning.service.ts;server/services/multi-region.service.ts;server/services/weight-balance.service.ts","","",""
"server/services/disaster-recovery.service.ts","active","","server/routers/disaster-recovery.ts","server/services/demo-capability.ts;server/services/health.service.ts","",""
"server/services/disruption.service.ts","active","","server/routers/disruptions.ts","drizzle/schema.ts;server/db.ts","airports;bookings;flightDisruptions;flights","flightDisruptions;flights"
"server/services/dynamic-pricing.service.ts","retired","","","drizzle/schema.ts;server/db.ts","bookings",""
"server/services/email.service.ts","active","","server/jobs/check-in-reminder.job.ts;server/queue/workers/email.worker.ts;server/services/flight-status.service.ts;server/services/notification.service.ts;server/services/queue-v2.service.ts;server/services/queue.service.ts;server/services/refunds.service.ts;server/services/split-payment.service.ts;server/webhooks/stripe.ts","","att.content",""
"server/services/emd.service.ts","active","","server/routers/emd.ts","drizzle/schema.ts;server/db.ts","airlines;bookings;electronicMiscDocs;flights;passengers","electronicMiscDocs"
"server/services/emergency-hotel.service.ts","active","","server/routers/emergency-hotel.ts","drizzle/schema.ts;server/db.ts","airports;emergencyHotelBookings;emergencyHotels;flights","emergencyHotelBookings;emergencyHotels"
"server/services/eticket.service.ts","active","","server/routers/eticket.ts;server/webhooks/stripe.ts","drizzle/schema.ts;server/db.ts;server/services/outbox.service.ts","airlines;airports;bookings;flights;passengers","passengers"
"server/services/event-inbox.service.ts","active","","server/routes/operational-integrations.ts;server/services/outbox.service.ts","drizzle/schema.ts;server/db.ts;server/services/idempotency-v2.service.ts","bookings;eventInbox","eventInbox;notifications"
"server/services/family-pool.service.ts","active","","server/routers/family-pool.ts","drizzle/schema.ts;server/db.ts","familyGroupMembers;familyGroups;loyaltyAccounts;users","familyGroupMembers;familyGroups;loyaltyAccounts"
"server/services/fare-rules.service.ts","active","","server/routers/fare-rules.ts","drizzle/schema.ts;server/_core/logger.ts;server/db.ts","fareClasses;fareRules;flights","fareClasses;fareRules"
"server/services/favorites.service.ts","active","","server/routers/favorites.ts","drizzle/schema.ts;server/db.ts","airlines;airports;favoriteFlights;flights;priceAlertHistory;userFlightFavorites","favoriteFlights;priceAlertHistory;userFlightFavorites"
"server/services/financial-reporting.service.ts","active","","server/services/analytics.service.ts;server/services/data-warehouse.service.ts;server/services/premium-experiment.service.ts","drizzle/schema.ts;server/db.ts","bookings;financialLedger",""
"server/services/flight-economics-evidence.service.ts","active","","server/routers/aviation-integrations.ts;server/services/intelligence/economics.agent.ts","drizzle/schema.ts;server/db.ts;server/services/aviation-evidence.service.ts;server/services/required-value.ts","aviationEvidence;flights",""
"server/services/flight-status.service.ts","active","","server/routers/admin.ts;server/routers/flights.ts","drizzle/schema.ts;server/_core/notification.ts;server/db.ts;server/services/email.service.ts;server/services/notification.service.ts;server/stripe.ts","airports;bookings;flightStatusHistory;flights;users","flightStatusHistory;flights"
"server/services/flight-tracking.service.ts","active","","server/routers/flight-tracking.router.ts","drizzle/schema.ts;server/db.ts","airports;flightTracking;flights","flightTracking"
"server/services/flights.service.ts","active","","server/routers/flights.ts;server/services/ai-chat-booking.service.ts;server/services/multi-city.service.ts;server/services/price-quote.service.ts;server/services/retail-offer.service.ts","server/db.ts;server/services/pricing/dynamic-pricing.service.ts;server/services/redis-cache.service.ts","",""
"server/services/gate.service.ts","active","","server/routers/gates.ts","drizzle/schema.ts;server/db.ts;server/services/notification.service.ts","airportGates;airports;bookings;flights;gateAssignments","airportGates;gateAssignments"
"server/services/gdpr.service.ts","active","","server/routers/gdpr.ts","drizzle/schema.ts;server/_core/logger.ts;server/db.ts;server/services/audit.service.ts","accountDeletionRequests;bookingModifications;bookings;consentHistory;dataExportRequests;favoriteFlights;flightReviews;loyaltyAccounts;milesTransactions;passengers;payments;userConsents;userPreferences;users","accountDeletionRequests;consentHistory;dataExportRequests;favoriteFlights;flightReviews;passengers;userConsents;userPreferences;users"
"server/services/gds.service.ts","active","","server/routers/gds.ts","drizzle/schema.ts;server/db.ts;server/services/demo-capability.ts","gdsConnections;gdsMessages","gdsConnections;gdsMessages"
"server/services/group-booking.service.ts","active","","server/routers/group-bookings.ts","drizzle/schema.ts;server/db.ts","flights;groupBookings","flights;groupBookings"
"server/services/health.service.ts","active","","server/routers/health.ts;server/services/disaster-recovery.service.ts","server/db.ts;server/services/redis-cache.service.ts","",""
"server/services/idempotency-v2.service.ts","active","","server/services/aircraft-rotation.service.ts;server/services/ancillary-services.service.ts;server/services/aviation-evidence.service.ts;server/services/booking-checkout.service.ts;server/services/booking-modification.service.ts;server/services/bookings.service.ts;server/services/event-inbox.service.ts;server/services/irops-recovery.service.ts;server/services/multi-city.service.ts;server/services/ndc-unpaid.service.ts;server/services/ndc.service.ts;server/services/order-servicing.service.ts;server/services/queue-v2.service.ts;server/services/split-checkout.service.ts;server/services/split-refund.service.ts;server/services/travel-agent.service.ts;server/services/travel-clearance.service.ts;server/services/travel-evidence.service.ts","drizzle/schema.ts;server/_core/errors.ts;server/db.ts","idempotencyRequests","idempotencyRequests"
"server/services/idempotency.service.ts","retired","","","drizzle/schema.ts;server/_core/errors.ts;server/_core/logger.ts;server/db.ts","idempotencyRequests","idempotencyRequests;payloadString"
"server/services/intelligence/economics.agent.ts","active","","server/services/intelligence/index.ts;server/services/intelligence/kernel.ts","drizzle/schema.ts;server/_core/logger.ts;server/db.ts;server/services/flight-economics-evidence.service.ts;server/services/required-value.ts","airports;bookingSegments;bookings;flights",""
"server/services/intelligence/fraud.agent.ts","active","","server/services/intelligence/index.ts;server/services/intelligence/kernel.ts","drizzle/schema.ts;server/_core/logger.ts;server/db.ts","bookings;payments;users",""
"server/services/intelligence/gateway.ts","active","","server/services/ai-chat-booking.service.ts;server/services/intelligence/index.ts;server/services/intelligence/kernel.ts","server/_core/llm.ts;server/_core/logger.ts;server/services/agent-governance.service.ts;server/services/cache.service.ts","",""
"server/services/intelligence/index.ts","active","","server/routers/intelligence.router.ts","server/services/intelligence/economics.agent.ts;server/services/intelligence/fraud.agent.ts;server/services/intelligence/gateway.ts;server/services/intelligence/kernel.ts;server/services/intelligence/operations.agent.ts","",""
"server/services/intelligence/kernel.ts","active","","server/services/intelligence/index.ts","server/_core/logger.ts;server/services/cache.service.ts;server/services/intelligence/economics.agent.ts;server/services/intelligence/fraud.agent.ts;server/services/intelligence/gateway.ts;server/services/intelligence/operations.agent.ts","",""
"server/services/intelligence/operations.agent.ts","active","","server/services/intelligence/index.ts;server/services/intelligence/kernel.ts","drizzle/schema.ts;server/db.ts;server/services/operational-events.service.ts","flights",""
"server/services/intelligence/types.ts","type-only","","","","",""
"server/services/interline.service.ts","active","","server/routers/interline.ts","server/services/codeshare.service.ts","",""
"server/services/inventory-capacity.service.ts","active","","server/services/booking-settlement.service.ts;server/services/inventory-lock.service.ts;server/services/inventory/inventory.service.ts;server/services/irops-recovery.service.ts;server/services/premium-experiment.service.ts","drizzle/schema.ts","inventoryLocks;seatHolds",""
"server/services/inventory-lock.service.ts","active","","server/services/bookings.service.ts;server/services/cron.service.ts;server/services/inventory/inventory.service.ts;server/services/multi-city.service.ts;server/services/ndc-unpaid.service.ts;server/services/ndc.service.ts;server/services/order-service-checkout.service.ts;server/services/order-servicing.service.ts","drizzle/schema.ts;server/db.ts;server/services/inventory-capacity.service.ts","flights;inventoryLocks","inventoryLocks"
"server/services/inventory/inventory.service.ts","active","","server/routers/inventory.router.ts;server/services/queue-v2.service.ts","drizzle/schema.ts;server/db.ts;server/services/inventory-capacity.service.ts;server/services/inventory-lock.service.ts","bookings;deniedBoardingRecords;flights;overbookingConfigTable;seatHolds;waitlist","deniedBoardingRecords;inventoryLocks;overbookingConfigTable;seatHolds;waitlist"
"server/services/irops-recovery.service.ts","active","","server/routers/irops.ts","drizzle/schema.ts;server/db.ts;server/services/baggage-custody.service.ts;server/services/booking-invoice.service.ts;server/services/booking-settlement.service.ts;server/services/idempotency-v2.service.ts;server/services/inventory-capacity.service.ts;server/services/irops.service.ts;server/services/outbox.service.ts;server/services/recovery-solver.ts;server/services/required-value.ts;server/services/tenant.service.ts","bookingAncillaries;bookingModifications;bookingSegments;bookings;flightDisruptions;flights;iropsActions;iropsRecoveryPlans;ndcOrders","bookingSegments;bookings;iropsActions;iropsRecoveryPlans;ndcOrders;notifications;passengers;seatInventory"
"server/services/irops.service.ts","active","","server/routers/irops.ts;server/services/irops-recovery.service.ts","drizzle/schema.ts;server/db.ts;server/services/outbox.service.ts","airports;bookingSegments;bookings;flightDisruptions;flights;iropsActions;passengers","flightDisruptions;flights;iropsActions;message;notifications"
"server/services/kiosk.service.ts","active","","server/routers/kiosk.ts","drizzle/schema.ts;server/db.ts;server/services/travel-clearance.service.ts","airlines;airports;ancillaryServices;bookingAncillaries;bookings;flights;kioskDevices;kioskSessions;passengers","bookingAncillaries;bookings;kioskDevices;kioskSessions;passengers"
"server/services/load-planning.service.ts","active","","server/routers/load-planning.ts","drizzle/schema.ts;server/db.ts;server/services/demo-capability.ts","aircraftTypes;baggageItems;bookings;flights;loadPlanDetails;loadPlans;passengers","loadPlanDetails;loadPlans"
"server/services/logger.service.ts","active","","server/_core/logger.ts;server/services/account-lock.service.ts","","",""
"server/services/loyalty.service.ts","active","","server/jobs/loyalty-cleanup.job.ts;server/routers/loyalty.ts;server/webhooks/stripe.ts","drizzle/schema.ts;server/db.ts","loyaltyAccounts;milesTransactions","loyaltyAccounts;milesTransactions"
"server/services/metrics.service.ts","active","","server/routers/admin.ts;server/routers/flights.ts;server/services/bookings.service.ts;server/services/multi-city.service.ts;server/services/payments.service.ts;server/services/refunds.service.ts","","",""
"server/services/mfa.service.ts","active","","server/_core/oauth.ts;server/routers/auth.ts;server/routers/mfa.ts;server/services/mobile-auth-v2.service.ts","drizzle/schema.ts;server/_core/logger.ts;server/db.ts","bytes;expectedToken;hashed;mfaChallenges;mfaSettings;stored;token;users","challengeToken;counterBuffer;encrypted;mfaChallenges;mfaSettings;refreshTokens;secret;token"
"server/services/mobile-auth-v2.service.ts","active","","server/_core/context.ts;server/_core/oauth.ts;server/_core/sdk.ts;server/routers/auth.ts;server/services/queue-v2.service.ts","drizzle/schema.ts;server/_core/env.ts;server/db.ts;server/services/mfa.service.ts","mfaSettings;refreshTokens;users","refreshTokens;token;users"
"server/services/mobile-auth.service.ts","retired","","","drizzle/schema.ts;server/_core/logger.ts;server/db.ts;server/services/auth-service.client.ts","refreshTokens","refreshTokens"
"server/services/modification-fee.ts","active","","server/services/order-servicing.service.ts","","",""
"server/services/multi-city.service.ts","active","","server/routers/multi-city.ts","drizzle/schema.ts;server/db.ts;server/services/flights.service.ts;server/services/idempotency-v2.service.ts;server/services/inventory-lock.service.ts;server/services/metrics.service.ts;server/services/outbox.service.ts;server/services/seat-economics.service.ts;server/services/tenant.service.ts","airlines;airports;bookingSegments;bookings;flights","bookingSegments;bookings;passengers"
"server/services/multi-region.service.ts","active","","server/routers/multi-region.ts","config/multi-region.ts;server/_core/logger.ts;server/services/demo-capability.ts","",""
"server/services/ndc-order-state.ts","active","","server/services/ndc.service.ts","","",""
"server/services/ndc-unpaid.service.ts","active","","server/services/ndc.service.ts","drizzle/schema.ts;server/services/booking-invoice.service.ts;server/services/idempotency-v2.service.ts;server/services/inventory-lock.service.ts;server/services/ndc.service.ts;server/services/outbox.service.ts;server/services/retail-offer.service.ts;server/services/seat-economics.service.ts","ancillaryServices;bookingAncillaries;bookingSegments;bookings;flights;inventoryLocks;ndcOffers;ndcOrders;passengers;seatInventory","bookingSegments;bookings;ndcOffers;ndcOrders;passengers"
"server/services/ndc.service.ts","active","","server/routers/ndc.ts;server/services/ndc-unpaid.service.ts","drizzle/schema.ts;server/db.ts;server/services/booking-settlement.service.ts;server/services/idempotency-v2.service.ts;server/services/inventory-lock.service.ts;server/services/ndc-order-state.ts;server/services/ndc-unpaid.service.ts;server/services/outbox.service.ts;server/services/retail-offer.service.ts;server/services/seat-economics.service.ts;server/services/tenant.service.ts","airlines;airports;bookings;fareClasses;flights;ndcOffers;ndcOrders","bookingSegments;bookings;ndcOffers;ndcOrders;passengers"
"server/services/notification.service.ts","active","","server/routers/bookings.ts;server/routers/notifications.ts;server/services/corporate.service.ts;server/services/flight-status.service.ts;server/services/gate.service.ts;server/services/price-alerts.service.ts;server/services/queue-v2.service.ts;server/services/queue.service.ts;server/services/refunds.service.ts;server/services/waitlist.service.ts;server/webhooks/stripe.ts","drizzle/schema.ts;server/db.ts;server/services/email.service.ts","notifications;users","notifications"
"server/services/operational-events.service.ts","active","","server/routers/aviation-integrations.ts;server/services/intelligence/operations.agent.ts","drizzle/schema.ts;server/db.ts;server/services/aviation-evidence.service.ts;server/services/tenant.service.ts","aviationEvidence;flights",""
"server/services/order-refunds.service.ts","active","","server/services/cron.service.ts;server/services/order-servicing.service.ts;server/services/refunds.service.ts;server/services/split-refund.service.ts;server/webhooks/stripe.ts","drizzle/schema.ts;server/db.ts;server/services/outbox.service.ts;server/services/payment-settlement.service.ts;server/services/split-refund.service.ts;server/stripe.ts","bookingRefundPlans;bookings;orderServiceRefunds;paymentReceipts","orderServiceRefunds"
"server/services/order-service-checkout.service.ts","active","","server/routers/ndc.ts;server/routers/payments.ts","drizzle/schema.ts;server/db.ts;server/services/booking-settlement.service.ts;server/services/inventory-lock.service.ts;server/services/order-servicing.service.ts;server/services/outbox.service.ts;server/stripe.ts","bookingModifications;bookings;flights;inventoryLocks","bookingModifications;inventoryLocks"
"server/services/order-servicing.service.ts","active","","server/routers/ndc.ts;server/services/booking-modification.service.ts;server/services/order-service-checkout.service.ts;server/services/payment-settlement.service.ts","drizzle/schema.ts;server/db.ts;server/services/baggage-custody.service.ts;server/services/booking-invoice.service.ts;server/services/booking-settlement.service.ts;server/services/idempotency-v2.service.ts;server/services/inventory-lock.service.ts;server/services/modification-fee.ts;server/services/order-refunds.service.ts;server/services/outbox.service.ts;server/services/retail-offer.service.ts;server/services/seat-economics.service.ts;server/services/tenant.service.ts","bookingAncillaries;bookingModifications;bookingSegments;bookings;flights;inventoryLocks;ndcOrders;passengers;retailOffers","bookingModifications;bookingSegments;bookings;inventoryLocks;ndcOrders;passengers;seatInventory"
"server/services/outbox.service.ts","active","","server/services/agent-governance.service.ts;server/services/aircraft-rotation.service.ts;server/services/aviation-evidence.service.ts;server/services/booking-checkout.service.ts;server/services/booking-invoice.service.ts;server/services/booking-settlement.service.ts;server/services/bookings.service.ts;server/services/crew-rule.service.ts;server/services/cron.service.ts;server/services/eticket.service.ts;server/services/irops-recovery.service.ts;server/services/irops.service.ts;server/services/multi-city.service.ts;server/services/ndc-unpaid.service.ts;server/services/ndc.service.ts;server/services/order-refunds.service.ts;server/services/order-service-checkout.service.ts;server/services/order-servicing.service.ts;server/services/payment-settlement.service.ts;server/services/premium-experiment.service.ts;server/services/pricing-approval.service.ts;server/services/retail-offer.service.ts;server/services/split-checkout.service.ts;server/services/split-payment.service.ts;server/services/split-refund.service.ts;server/services/stripe-webhook.service.ts;server/services/tenant.service.ts;server/services/travel-agent.service.ts","drizzle/schema.ts;server/db.ts;server/services/event-inbox.service.ts;server/webhooks/stripe.ts","outbox","outbox"
"server/services/passenger-priority.service.ts","active","","server/routers/passenger-priority.ts","drizzle/schema.ts;server/db.ts","bookingSegments;bookings;flights;loyaltyAccounts;passengers;specialServices",""
"server/services/payment-history.service.ts","active","","server/routers/payment-history.ts;server/routers/payments.ts","drizzle/schema.ts;server/db.ts","airports;bookings;flights;payments",""
"server/services/payment-providers/easycash.provider.ts","active","","server/services/payment-providers/index.ts","","",""
"server/services/payment-providers/floosak.provider.ts","active","","server/services/payment-providers/index.ts","","",""
"server/services/payment-providers/hyperpay.provider.ts","active","","server/services/payment-providers/index.ts","","",""
"server/services/payment-providers/index.ts","active","","server/routers/payments.ts","server/services/payment-providers/easycash.provider.ts;server/services/payment-providers/floosak.provider.ts;server/services/payment-providers/hyperpay.provider.ts;server/services/payment-providers/jawali.provider.ts;server/services/payment-providers/onecash.provider.ts;server/services/payment-providers/stc-pay.provider.ts;server/services/payment-providers/stripe.provider.ts;server/services/payment-providers/tabby.provider.ts;server/services/payment-providers/tamara.provider.ts","",""
"server/services/payment-providers/jawali.provider.ts","active","","server/services/payment-providers/index.ts","","",""
"server/services/payment-providers/onecash.provider.ts","active","","server/services/payment-providers/index.ts","","",""
"server/services/payment-providers/stc-pay.provider.ts","active","","server/services/payment-providers/index.ts","","",""
"server/services/payment-providers/stripe.provider.ts","active","","server/services/payment-providers/index.ts","","",""
"server/services/payment-providers/tabby.provider.ts","active","","server/services/payment-providers/index.ts","","",""
"server/services/payment-providers/tamara.provider.ts","active","","server/services/payment-providers/index.ts","","",""
"server/services/payment-providers/types.ts","type-only","","","","",""
"server/services/payment-settlement.service.ts","active","","server/services/order-refunds.service.ts;server/services/refunds.service.ts;server/services/split-refund.service.ts;server/webhooks/stripe.ts","drizzle/schema.ts;server/services/baggage-custody.service.ts;server/services/booking-checkout.service.ts;server/services/booking-settlement.service.ts;server/services/order-servicing.service.ts;server/services/outbox.service.ts","bookingModifications;bookingRefundItems;bookings;flights;orderServiceRefunds;paymentReceipts;paymentSplits;walletTransactions;wallets","bookingModifications;bookings;financialLedger;paymentReceipts;paymentSplits;payments;walletTransactions;wallets"
"server/services/payments.service.ts","retired","","","drizzle/schema.ts;server/db.ts;server/services/metrics.service.ts;server/stripe.ts;server/webhooks/stripe.ts","","payments"
