"domain","routerFile","literalProcedures","frontendCallSites","frontendFiles"
"loyalty","server/routers/loyalty.ts","myAccount:protectedProcedure;myTransactions:protectedProcedure;redeemMiles:protectedProcedure;awardBonusMiles:adminProcedure;reverseMilesForBooking:adminProcedure;processExpiredMiles:adminProcedure;getUserAccount:adminProcedure;getUserTransactions:adminProcedure","3","client/src/pages/LoyaltyDashboard.tsx"
"eticket","server/routers/eticket.ts","generateETicket:protectedProcedure;generateBoardingPass:protectedProcedure;generateCalendarEvent:protectedProcedure","3","client/src/components/DownloadTicketButtons.tsx"
"userPreferences","server/routers/user-preferences.ts","getMyPreferences:protectedProcedure;updateMyPreferences:protectedProcedure;deleteMyPreferences:protectedProcedure;getSavedPassport:protectedProcedure;updatePassport:protectedProcedure;getNotificationSettings:protectedProcedure;updateNotificationSettings:protectedProcedure","4","client/src/pages/BookingPage.tsx;client/src/pages/Profile.tsx"
"ancillary","server/routers/ancillary.ts","getAvailable:publicProcedure;getByCategory:publicProcedure;getById:publicProcedure;addToBooking:protectedProcedure;getBookingAncillaries:protectedProcedure;removeFromBooking:protectedProcedure;calculateTotal:protectedProcedure;adminCreate:adminProcedure;adminUpdate:adminProcedure;adminDeactivate:adminProcedure","10","client/src/components/AncillarySelection.tsx;client/src/components/BookingAncillariesDisplay.tsx;client/src/components/ManageAncillariesDialog.tsx;client/src/components/MealPreOrder.tsx"
"health","server/routers/health.ts","check:adminProcedure;ready:publicProcedure;live:publicProcedure","0",""
"reviews","server/routers/reviews.ts","create:protectedProcedure;getFlightReviews:publicProcedure;getFlightStats:publicProcedure;update:protectedProcedure;delete:protectedProcedure;getUserReviews:protectedProcedure;markHelpful:protectedProcedure;getAirlineReviews:publicProcedure;getAirlineStats:publicProcedure;canReview:protectedProcedure","10","client/src/components/FlightReviewsSection.tsx;client/src/components/ReviewForm.tsx;client/src/components/ReviewsList.tsx"
"favorites","server/routers/favorites.ts","addFlight:protectedProcedure;removeFlight:protectedProcedure;getFlights:protectedProcedure;isFlightFavorited:protectedProcedure;add:protectedProcedure;getAll:protectedProcedure;update:protectedProcedure;delete:protectedProcedure;isFavorited:protectedProcedure;getPriceAlertHistory:protectedProcedure;getBestPrices:protectedProcedure;checkPriceAlerts:adminProcedure","12","client/src/components/FavoriteButton.tsx;client/src/components/FavoriteFlights.tsx;client/src/components/FlightFavorites.tsx;client/src/pages/BookingPage.tsx;client/src/pages/SearchResults.tsx"
"priceAlerts","server/routers/price-alerts.ts","create:protectedProcedure;getAll:protectedProcedure;getById:protectedProcedure;delete:protectedProcedure;toggle:protectedProcedure;updatePrice:protectedProcedure;checkAlerts:adminProcedure","5","client/src/components/CreatePriceAlertDialog.tsx;client/src/pages/PriceAlerts.tsx"
"aiChat","server/routers/ai-chat.ts","startConversation:protectedProcedure;sendMessage:protectedProcedure;getHistory:protectedProcedure;getSuggestions:protectedProcedure;selectSuggestion:protectedProcedure;myConversations:protectedProcedure;getQuickReplies:protectedProcedure;getConfig:protectedProcedure","6","client/src/components/AIChatBooking.tsx;client/src/pages/AiChat.tsx"
"reports","server/routers/reports.ts","exportBookingsCSV:adminProcedure;exportRevenueCSV:adminProcedure;exportFlightPerformanceCSV:adminProcedure;generateBookingsPDF:adminProcedure;generateRevenuePDF:adminProcedure;exportBookingsExcel:adminProcedure;exportRevenueExcel:adminProcedure;exportFlightPerformanceExcel:adminProcedure;generateFlightPerformancePDF:adminProcedure;exportRefundsCSV:adminProcedure;exportRefundsExcel:adminProcedure;generateRefundsPDF:adminProcedure","27","client/src/components/ExportReportButton.tsx;client/src/pages/AnalyticsDashboard.tsx;client/src/pages/admin/ReportsDashboard.tsx"
"gdpr","server/routers/gdpr.ts","getConsentStatus:protectedProcedure;updateConsent:protectedProcedure;withdrawAllConsent:protectedProcedure;getConsentHistory:protectedProcedure;exportData:protectedProcedure;getExportStatus:protectedProcedure;getExportHistory:protectedProcedure;deleteAccount:protectedProcedure;confirmDeletion:protectedProcedure;cancelDeletion:protectedProcedure;getDeletionStatus:protectedProcedure;getPrivacyDashboard:protectedProcedure","0",""
"rateLimit","server/routers/rate-limit.ts","status:publicProcedure;statusForScope:publicProcedure;tiers:publicProcedure;myTier:protectedProcedure;resetUser:adminProcedure;resetIp:adminProcedure;getUserStatus:adminProcedure;config:adminProcedure","0",""
"metrics","server/routers/metrics.ts","prometheus:adminProcedure;json:adminProcedure;summary:adminProcedure;reset:adminProcedure;category:adminProcedure","0",""
"cache","server/routers/cache.ts","health:publicProcedure;stats:adminProcedure;redisInfo:adminProcedure;invalidateNamespace:adminProcedure;invalidateFlightSearch:adminProcedure;invalidateReferenceData:adminProcedure;invalidatePricing:adminProcedure;invalidateUserSession:adminProcedure;resetStats:adminProcedure;clearAll:adminProcedure;reconnect:adminProcedure;config:adminProcedure","0",""
"groupBookings","server/routers/group-bookings.ts","submitRequest:publicProcedure;calculateDiscount:publicProcedure;list:adminProcedure;getStats:adminProcedure;getById:adminProcedure;approve:adminProcedure;reject:adminProcedure;getDiscountTiers:publicProcedure","7","client/src/pages/GroupBookingRequest.tsx;client/src/pages/admin/GroupBookingsManagement.tsx"
"specialServices","server/routers/special-services.ts","getAvailableServices:publicProcedure;requestService:protectedProcedure;getBookingServices:protectedProcedure;cancelService:protectedProcedure;getServiceById:protectedProcedure;getPassengerServices:protectedProcedure;adminGetPending:adminProcedure;adminUpdateStatus:adminProcedure;adminBulkUpdateStatus:adminProcedure","4","client/src/components/SpecialServicesRequest.tsx"
"notifications","server/routers/notifications.ts","list:protectedProcedure;unreadCount:protectedProcedure;markAsRead:protectedProcedure;markAllAsRead:protectedProcedure;delete:protectedProcedure;deleteAll:protectedProcedure;create:adminProcedure;createBulk:adminProcedure;getUserNotifications:adminProcedure;cleanup:adminProcedure","37","client/src/components/NotificationBell.tsx;client/src/components/NotificationDropdown.tsx;client/src/hooks/useNotifications.ts;client/src/pages/Notifications.tsx"
"multiCity","server/routers/multi-city.ts","search:publicProcedure;calculatePrice:publicProcedure;create:protectedProcedure;getSegments:protectedProcedure;isMultiCity:protectedProcedure","2","client/src/pages/MultiCityResults.tsx"
"baggage","server/routers/baggage.ts","custody:protectedProcedure;track:publicProcedure;getByTag:publicProcedure;register:protectedProcedure;getBookingBaggage:protectedProcedure;getPassengerBaggage:protectedProcedure;reportLost:protectedProcedure;getStatusLabels:publicProcedure;adminUpdateStatus:adminProcedure;adminGetAll:adminProcedure;adminGetLost:adminProcedure;adminMarkFound:adminProcedure;adminGetStats:adminProcedure;adminGetByStatus:adminProcedure","8","client/src/components/BaggageTracker.tsx;client/src/pages/BaggageStatus.tsx;client/src/pages/admin/BaggageManagement.tsx"
"savedPassengers","server/routers/saved-passengers.ts","getAll:protectedProcedure;getById:protectedProcedure;getDefault:protectedProcedure;add:protectedProcedure;update:protectedProcedure;delete:protectedProcedure;setDefault:protectedProcedure","11","client/src/components/SavePassengerDialog.tsx;client/src/components/SavedPassengerSelect.tsx;client/src/pages/BookingPage.tsx;client/src/pages/SavedPassengers.tsx"
"waitlist","server/routers/waitlist.ts","join:protectedProcedure;getPosition:protectedProcedure;myWaitlist:protectedProcedure;acceptOffer:protectedProcedure;declineOffer:protectedProcedure;cancel:protectedProcedure;updateNotifications:protectedProcedure;getFlightWaitlist:adminProcedure;offerSeat:adminProcedure;processWaitlist:adminProcedure;processExpiredOffers:adminProcedure;getStats:adminProcedure","5","client/src/components/JoinWaitlistDialog.tsx;client/src/pages/MyWaitlist.tsx"
"splitPayments","server/routers/split-payments.ts","initiate:protectedProcedure;getStatus:protectedProcedure;sendRequest:protectedProcedure;resendRequest:protectedProcedure;sendAllRequests:protectedProcedure;cancelSplit:protectedProcedure;cancelAll:protectedProcedure;getPayerDetails:publicProcedure;createPayerCheckout:publicProcedure;checkAllPaid:protectedProcedure","3","client/src/components/SplitPaymentForm.tsx;client/src/pages/PayYourShare.tsx"
"corporate","server/routers/corporate.ts","createAccount:publicProcedure;listAccounts:adminProcedure;getAccountById:adminProcedure;activateAccount:adminProcedure;suspendAccount:adminProcedure;updateAccount:adminProcedure;getMyAccount:protectedProcedure;addUser:protectedProcedure;getUsers:protectedProcedure;removeUser:protectedProcedure;updateUserRole:protectedProcedure;createBooking:protectedProcedure;approveBooking:protectedProcedure;rejectBooking:protectedProcedure;getBookings:protectedProcedure;getStats:protectedProcedure;getAccountStats:adminProcedure","15","client/src/pages/admin/CorporateManagement.tsx;client/src/pages/corporate/CorporateBookings.tsx;client/src/pages/corporate/CorporateDashboard.tsx"
"priceCalendar","server/routers/price-calendar.ts","getMonthlyPrices:publicProcedure;getFlexiblePrices:publicProcedure;getAvailableMonths:publicProcedure","3","client/src/components/FlexibleDateSearch.tsx;client/src/components/PriceCalendar.tsx;client/src/components/PriceCalendarView.tsx"
"travelAgent","server/routers/travel-agent.ts","assignOwner:adminProcedure;register:adminProcedure;list:adminProcedure;getById:adminProcedure;regenerateCredentials:adminProcedure;updateStatus:adminProcedure;updateCommissionRate:adminProcedure;getAgentStats:adminProcedure;getPendingCommissions:adminProcedure;updateCommissionStatus:adminProcedure;validateCredentials:publicProcedure;searchFlights:publicProcedure;createBooking:publicProcedure;getBookings:publicProcedure;calculateCommission:publicProcedure;getStats:publicProcedure;getApiDocumentation:publicProcedure","8","client/src/pages/admin/TravelAgentManagement.tsx"
"sms","server/routers/sms.ts","getMyLogs:protectedProcedure;getPreferences:protectedProcedure;listLogs:adminProcedure;getStats:adminProcedure;sendTest:adminProcedure;resend:adminProcedure;sendBulk:adminProcedure;getUserLogs:adminProcedure;getTemplates:adminProcedure;sendTemplated:adminProcedure","0",""
"gates","server/routers/gates.ts","getFlightGate:publicProcedure;getAirportGates:publicProcedure;getAvailableGates:adminProcedure;assignGate:adminProcedure;updateGateAssignment:adminProcedure;releaseGate:adminProcedure;getGateSchedule:adminProcedure;createGate:adminProcedure;updateGateStatus:adminProcedure;deleteGate:adminProcedure;getStats:adminProcedure;notifyGateChange:adminProcedure","7","client/src/components/GateDisplay.tsx;client/src/pages/admin/GateManagement.tsx"
"vouchers","server/routers/vouchers.ts","validate:publicProcedure;applyVoucher:protectedProcedure;myCredits:protectedProcedure;myCreditHistory:protectedProcedure;myCreditUsage:protectedProcedure;useCredits:protectedProcedure;create:adminProcedure;getAll:adminProcedure;getById:adminProcedure;update:adminProcedure;deactivate:adminProcedure;getUsageHistory:adminProcedure;addCredit:adminProcedure;getUserCredits:adminProcedure;getAllCredits:adminProcedure;processExpiredCredits:adminProcedure","7","client/src/components/CreditBalance.tsx;client/src/components/VoucherInput.tsx;client/src/pages/admin/VoucherManagement.tsx"
"priceLock","server/routers/price-lock.ts","create:protectedProcedure;myLocks:protectedProcedure;checkLock:protectedProcedure;cancel:protectedProcedure","3","client/src/components/PriceLockButton.tsx;client/src/pages/BookingPage.tsx"
"familyPool","server/routers/family-pool.ts","createGroup:protectedProcedure;myGroup:protectedProcedure;addMember:protectedProcedure;removeMember:protectedProcedure;contributeMiles:protectedProcedure;deleteGroup:protectedProcedure","11","client/src/components/FamilyPoolCard.tsx"
"wallet","server/routers/wallet.ts","balance:protectedProcedure;topUp:protectedProcedure;pay:protectedProcedure;transactions:protectedProcedure","3","client/src/components/WalletCard.tsx"
"disruptions","server/routers/disruptions.ts","myDisruptions:protectedProcedure;getAlternatives:protectedProcedure;create:adminProcedure;activeDisruptions:adminProcedure;resolve:adminProcedure","2","client/src/components/DisruptionHub.tsx"
"rebooking","server/routers/rebooking.ts","getRebookData:protectedProcedure;searchFlights:protectedProcedure;quickRebook:protectedProcedure","4","client/src/pages/BookingPage.tsx;client/src/pages/RebookPage.tsx"
"travelScenarios","server/routers/travel-scenarios.ts","getAutoCheckIn:protectedProcedure;setAutoCheckIn:protectedProcedure;getShareableItinerary:protectedProcedure;getCarbonOffset:publicProcedure;getTravelRequirements:publicProcedure","6","client/src/components/AutoCheckInToggle.tsx;client/src/components/CarbonOffset.tsx;client/src/components/ItineraryShare.tsx;client/src/components/TravelRequirements.tsx"
"dcs","server/routers/dcs.ts","getAircraftTypes:adminProcedure;getAircraftType:adminProcedure;createAircraftType:adminProcedure;getCrewMembers:adminProcedure;createCrewMember:adminProcedure;assignCrew:adminProcedure;getFlightCrew:adminProcedure;removeCrewAssignment:adminProcedure;getFlightManifest:adminProcedure;calculateWeightBalance:adminProcedure;createLoadPlan:adminProcedure;getLoadPlan:adminProcedure;approveLoadPlan:adminProcedure;finalizeLoadPlan:adminProcedure;getStats:adminProcedure","12","client/src/pages/admin/DcsDashboard.tsx;client/src/pages/admin/LoadPlanning.tsx;client/src/pages/admin/WeightBalance.tsx"
"inventory","server/routers/inventory.router.ts","getStatus:publicProcedure;allocateSeats:protectedProcedure;releaseHold:protectedProcedure;addToWaitlist:protectedProcedure;removeFromWaitlist:protectedProcedure;getForecast:adminProcedure;getRecommendedOverbooking:adminProcedure;handleDeniedBoarding:adminProcedure;recordDeniedBoarding:adminProcedure;getDeniedBoardingRecords:adminProcedure;updateDeniedBoardingStatus:adminProcedure;getOverbookingConfigs:adminProcedure;createOverbookingConfig:adminProcedure;expireOldHolds:adminProcedure;processWaitlist:adminProcedure","5","client/src/pages/admin/OverbookingManagement.tsx"
"pricing","server/routers/pricing.router.ts","calculate:publicProcedure;getPriceRange:publicProcedure;validate:publicProcedure;getForecast:publicProcedure;getSupportedCurrencies:publicProcedure;convertCurrency:publicProcedure;getExchangeRate:publicProcedure","0",""
"softDelete","server/routers/soft-delete.ts","deleteBooking:protectedProcedure;restoreBooking:adminProcedure;getDeletedBookings:adminProcedure;getDeletedCount:adminProcedure;purgeDeleted:adminProcedure","4","client/src/pages/admin/DeletedBookings.tsx"
"paymentHistory","server/routers/payment-history.ts","myPayments:protectedProcedure;myStats:protectedProcedure;adminHistory:adminProcedure;adminStats:adminProcedure","0",""
"aiPricing","server/routers/ai-pricing.router.ts","getDashboard:adminProcedure;setEnabled:adminProcedure;forecastDemand:adminProcedure;forecastRoute:adminProcedure;reconcileForecastOutcomes:adminProcedure;forecastAccuracy:adminProcedure;getCustomerProfile:adminProcedure;getMyProfile:protectedProcedure;getSegments:adminProcedure;upsertSegment:adminProcedure;runSegmentation:adminProcedure;optimizeFlight:adminProcedure;optimizeUpcoming:adminProcedure;approveOptimization:adminProcedure;applyOptimization:adminProcedure;getRevenueMetrics:adminProcedure;createABTest:adminProcedure;startABTest:adminProcedure;pauseABTest:adminProcedure;completeABTest:adminProcedure;getABTests:adminProcedure;getABTestResults:adminProcedure","5","client/src/pages/admin/AIPricingDashboard.tsx"
"flightTracking","server/routers/flight-tracking.router.ts","trackByNumber:publicProcedure;trackById:publicProcedure;activeFlights:publicProcedure;recordPosition:adminProcedure","2","client/src/pages/LiveFlightTracking.tsx"
"apis","server/routers/apis.ts","submitInfo:protectedProcedure;getMyAPISStatus:protectedProcedure;getFlightStatus:adminProcedure;validatePassenger:adminProcedure;generateMessage:adminProcedure;submitToAuthorities:adminProcedure;getRequirements:publicProcedure;flagIncomplete:adminProcedure;getSubmissions:adminProcedure","11","client/src/components/APISForm.tsx;client/src/pages/admin/APISManagement.tsx"
"bagDrop","server/routers/bag-drop.ts","registerUnit:adminProcedure;scanPass:publicProcedure;initiate:publicProcedure;weighBag:publicProcedure;checkAllowance:publicProcedure;calculateFee:publicProcedure;processPayment:publicProcedure;printTag:publicProcedure;confirm:publicProcedure;getUnits:adminProcedure;getUnitStatus:adminProcedure;getAnalytics:adminProcedure","0",""
"biometric","server/routers/biometric.ts","enroll:protectedProcedure;verify:protectedProcedure;getBoardingToken:protectedProcedure;getMyEnrollment:protectedProcedure;revokeEnrollment:protectedProcedure;getFlightStats:adminProcedure;getGateStatus:adminProcedure;getEvents:adminProcedure;configureGate:adminProcedure","3","client/src/components/BiometricEnrollment.tsx"
"bspReporting","server/routers/bsp-reporting.ts","generateReport:adminProcedure;getReports:adminProcedure;getReportDetail:adminProcedure;getSettlementCycles:adminProcedure;reconcile:adminProcedure;exportHOT:adminProcedure;getAgentSettlements:adminProcedure;validateCompliance:adminProcedure","0",""
"compensation","server/routers/compensation.ts","fileClaim:protectedProcedure;getMyClaims:protectedProcedure;getClaimDetail:protectedProcedure;checkEligibility:protectedProcedure;processClaim:adminProcedure;getAllClaims:adminProcedure;getFlightLiability:adminProcedure;getStats:adminProcedure;getRules:adminProcedure;updateRule:adminProcedure","9","client/src/components/CompensationClaim.tsx;client/src/pages/admin/CompensationManagement.tsx"
"consent","server/routers/consent.ts","recordConsent:publicProcedure;getMyConsent:protectedProcedure;updateConsent:protectedProcedure;getConsentStats:adminProcedure","1","client/src/components/CookieConsent.tsx"
"crew","server/routers/crew.ts","getMembers:adminProcedure;getMember:adminProcedure;assignToFlight:adminProcedure;removeFromFlight:adminProcedure;getFlightCrew:adminProcedure;getSchedule:adminProcedure;checkAvailability:adminProcedure;checkFTL:adminProcedure;validateRequirements:adminProcedure;findReplacement:adminProcedure","15","client/src/pages/admin/CrewAssignment.tsx"
"dataWarehouse","server/routers/data-warehouse.ts","createExport:adminProcedure;getExports:adminProcedure;getExportStatus:adminProcedure;downloadExport:adminProcedure;createSchedule:adminProcedure;getSchedules:adminProcedure;updateSchedule:adminProcedure;deleteSchedule:adminProcedure;getETLStatus:adminProcedure","7","client/src/pages/admin/DataWarehouse.tsx"
"disasterRecovery","server/routers/disaster-recovery.ts","getDashboard:adminProcedure;getBackupStatus:adminProcedure;triggerBackup:adminProcedure;getBackupSchedule:adminProcedure;getRecoveryPlan:adminProcedure;testFailover:adminProcedure;getTestHistory:adminProcedure;getRPO:adminProcedure;getRTO:adminProcedure;createIncident:adminProcedure;resolveIncident:adminProcedure;getIncidents:adminProcedure;getRunbook:adminProcedure;getAllRunbooks:adminProcedure;updateRunbook:adminProcedure","11","client/src/pages/admin/DisasterRecovery.tsx"
"emergencyHotel","server/routers/emergency-hotel.ts","findHotels:protectedProcedure;bookRoom:adminProcedure;getMyHotelBookings:protectedProcedure;getFlightHotelBookings:adminProcedure;cancelBooking:adminProcedure;checkEntitlement:protectedProcedure;getCosts:adminProcedure;getHotels:adminProcedure;addHotel:adminProcedure;updateHotel:adminProcedure;assignTransport:adminProcedure","8","client/src/pages/admin/EmergencyHotelManagement.tsx"
"irops","server/routers/irops.ts","proposeRecovery:adminProcedure;approveRecovery:adminProcedure;executeRecovery:adminProcedure;getDashboard:adminProcedure;getActiveDisruptions:adminProcedure;createEvent:adminProcedure;getEventDetail:adminProcedure;getAffectedPassengers:adminProcedure;getConnectionsAtRisk:adminProcedure;triggerAutoProtection:adminProcedure;sendNotification:adminProcedure;escalate:adminProcedure;resolveEvent:adminProcedure;getRecoveryMetrics:adminProcedure","9","client/src/pages/admin/IROPSCommandCenter.tsx"
"kiosk","server/routers/kiosk.ts","authenticate:publicProcedure;getCheckInData:publicProcedure;checkIn:publicProcedure;selectSeat:publicProcedure;printBoardingPass:publicProcedure;printBagTag:publicProcedure;addAncillary:publicProcedure;getDevices:adminProcedure;registerDevice:adminProcedure;getAnalytics:adminProcedure;getDeviceStatus:adminProcedure","0",""
"loadPlanning","server/routers/load-planning.ts","create:adminProcedure;get:adminProcedure;assignCompartment:adminProcedure;optimize:adminProcedure;validate:adminProcedure;updateBulk:adminProcedure;getCompartments:adminProcedure;finalize:adminProcedure;amend:adminProcedure","11","client/src/pages/admin/LoadPlanning.tsx"
"mfa","server/routers/mfa.ts","setup:protectedProcedure;verify:protectedProcedure;disable:protectedProcedure;regenerateBackupCodes:protectedProcedure;getStatus:protectedProcedure","2","client/src/components/MFASetup.tsx"
"multiRegion","server/routers/multi-region.ts","getRegions:adminProcedure;getRegionHealth:adminProcedure;getReplicationStatus:adminProcedure;getLatencyMap:adminProcedure;getFailoverHistory:adminProcedure;triggerSync:adminProcedure;initiateFailover:adminProcedure;updateRegion:adminProcedure","0",""
"passengerPriority","server/routers/passenger-priority.ts","calculateScore:adminProcedure;rankPassengers:adminProcedure;getPassengerProfile:adminProcedure;getRebookingOrder:adminProcedure;getProtectionOptions:adminProcedure;getRules:adminProcedure;updateRule:adminProcedure","5","client/src/pages/admin/PassengerPriority.tsx"
"revenueAccounting","server/routers/revenue-accounting.ts","getDashboard:adminProcedure;getRevenueByRoute:adminProcedure;getRevenueByClass:adminProcedure;getRevenueByChannel:adminProcedure;getAncillaryRevenue:adminProcedure;getDeferredRevenue:adminProcedure;generateReport:adminProcedure;getReports:adminProcedure;getYieldAnalysis:adminProcedure;getRefundImpact:adminProcedure","9","client/src/pages/admin/RevenueAccounting.tsx"
"sla","server/routers/sla.ts","getSystemHealth:adminProcedure;getServiceStatus:adminProcedure;getSLADashboard:adminProcedure;getAlerts:adminProcedure;acknowledgeAlert:adminProcedure;getTargets:adminProcedure;updateTarget:adminProcedure;generateReport:adminProcedure;getReports:adminProcedure;getMetricHistory:adminProcedure","6","client/src/pages/admin/SLADashboard.tsx"
"weightBalance","server/routers/weight-balance.ts","calculate:adminProcedure;getFlightWB:adminProcedure;getAircraftLimits:adminProcedure;updateAircraftLimits:adminProcedure;generateLoadSheet:adminProcedure;checkLimits:adminProcedure;getHistory:adminProcedure","0",""
"security","server/routers/security.ts","getRecentSecurityEvents:adminProcedure;lockAccount:adminProcedure;unlockAccount:adminProcedure;isAccountLocked:adminProcedure;blockIp:adminProcedure;unblockIp:adminProcedure;isIpBlocked:adminProcedure;cleanupOldAttempts:adminProcedure","0",""
"emd","server/routers/emd.ts","issue:adminProcedure;get:protectedProcedure;list:adminProcedure;use:adminProcedure;void:adminProcedure;exchange:adminProcedure;refund:adminProcedure;getByBooking:protectedProcedure;statistics:adminProcedure","0",""
"codeshare","server/routers/codeshare.ts","createAgreement:adminProcedure;updateAgreement:adminProcedure;getAgreement:adminProcedure;listAgreements:adminProcedure;activate:adminProcedure;terminate:adminProcedure;getCodeshareFlights:publicProcedure;calculateRevenue:adminProcedure","0",""
"fareRules","server/routers/fare-rules.ts","createFareClass:adminProcedure;updateFareClass:adminProcedure;getFareClass:publicProcedure;listFareClasses:publicProcedure;getFareClassAvailability:publicProcedure;createFareRule:adminProcedure;updateFareRule:adminProcedure;getFareRule:adminProcedure;listFareRules:adminProcedure;calculateFare:publicProcedure;validateRules:protectedProcedure;compareFareClasses:publicProcedure;calculateChangeFee:protectedProcedure","0",""
"seatMap","server/routers/seat-map.ts","createSeatMap:adminProcedure;updateSeatMap:adminProcedure;getSeatMap:publicProcedure;listSeatMaps:adminProcedure;initializeFlightSeats:adminProcedure;getFlightSeatMap:publicProcedure;selectSeat:protectedProcedure;releaseSeat:protectedProcedure;changeSeat:protectedProcedure;getPassengerSeat:protectedProcedure;blockSeat:adminProcedure;unblockSeat:adminProcedure;checkIn:protectedProcedure;undoCheckIn:adminProcedure;getBoardingPass:protectedProcedure;getCheckInStatus:adminProcedure;getSeatPricing:publicProcedure;calculateUpgradePrice:protectedProcedure","0",""
